,Price,ram_in_gb,ddr_version,gen_type,size_in_inches,SSD,HDD,processor_name_name_encoded,OS_name_encoded,disk_drive_name_encoded,touchscreen_name_encoded,company_name_encoded,graphic_card_name_encoded
1114,9280180.0,8,4,8,14.0,512,0,1,3,3,0,2,0
1115,8006180.0,4,4,7,15.6,0,1000,1,3,1,0,8,0
1116,10190180.0,8,4,10,14.0,256,1000,1,3,0,0,2,0
1117,17834180.0,16,4,8,14.0,512,0,1,3,3,0,11,0
1118,30029818.0,16,4,10,13.3,512,0,1,3,3,1,15,0
1119,27298180.0,16,4,8,15.6,512,0,1,3,3,0,9,1
1120,6004180.0,4,4,10,14.0,512,0,1,3,3,0,8,0
1121,11282180.0,8,4,8,14.0,0,1000,1,3,1,1,6,0
1122,54234180.0,32,4,8,15.6,0,1000,1,3,1,0,17,1
1123,17416490.0,8,4,8,13.3,1000,1000,1,3,0,0,8,0
1124,17997980.0,8,4,8,15.6,512,0,1,3,3,0,8,1
1125,34578180.0,16,4,8,17.3,128,1000,1,3,0,0,17,1
1126,7025018.0,4,3,0,10.0,512,1000,1,3,0,1,16,0
1127,11282180.0,8,4,8,14.0,0,1000,1,3,1,1,6,0
1128,27117818.0,8,3,8,13.3,256,0,1,2,3,0,6,0
1129,32758180.0,16,4,9,15.6,512,1000,1,3,0,0,6,1
1130,7025018.0,4,3,0,10.0,128,0,1,3,3,1,16,0
1131,13648180.0,8,4,0,15.6,512,0,0,3,3,0,4,1
1132,35471800.0,16,4,10,13.0,1000,0,1,2,3,0,1,0
1133,12738180.0,8,4,9,15.6,512,0,1,3,3,0,4,1
1134,18198180.0,8,4,8,15.6,0,2000,1,3,1,0,0,1
1135,7279818.0,4,4,0,14.0,0,1000,0,3,1,0,0,0
1136,14424774.0,8,4,7,15.6,0,1000,1,0,1,0,9,1
1137,13830180.0,8,3,8,13.3,512,0,1,3,3,0,2,0
1138,14558180.0,8,4,10,14.0,512,0,1,3,3,0,9,1
1139,13284180.0,8,3,7,13.3,256,0,1,3,3,0,0,0
1140,34578180.0,16,4,8,17.3,512,1000,1,3,0,0,17,1
1141,7431242.0,4,4,10,15.6,0,1000,1,3,1,0,0,0
1142,14348334.0,8,4,8,15.6,512,0,1,3,3,0,4,1
1143,17015180.0,8,4,9,15.6,512,0,1,3,3,0,4,1
1144,19927180.0,16,4,10,14.0,512,0,1,3,3,0,9,1
1145,24750180.0,8,3,8,12.0,256,0,1,3,3,1,16,0
1146,3820180.0,4,4,0,14.0,128,0,0,3,3,0,8,0
1147,17834180.0,8,4,9,15.6,256,2000,1,3,0,0,0,1
1148,17288180.0,8,4,8,13.3,512,0,1,3,3,1,8,0
1149,18198180.0,16,4,10,13.3,1000,0,1,3,3,0,2,0
1150,41858180.0,16,3,7,12.0,512,0,1,2,3,0,1,1
